Full_name,ST,CC,Year,blaZ_1.match,erm_C_.match,fusC.match,str.match
B001_F01_Y13_ST6143_CC8,ST6143,CC8,Y13,1,0,1,0
B002_F01_Y13_ST6143_CC8,ST6143,CC8,Y13,1,0,1,0
B003_F02_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B004_F03_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B005_F04_Y13_ST97_CC97,ST97,CC97,Y13,1,0,0,0
B006_F05_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B007_F02_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B008_F05_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B009_F07_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B010_F07_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B011_F03_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B012_F08_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B013_F09_Y13_ST6143_CC8,ST6143,CC8,Y13,1,0,1,0
B014_F10_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B016_F12_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B017_F134_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B018_F13_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B019_F14_Y13_ST97_CC97,ST97,CC97,Y13,1,0,0,0
B020_F15_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B021_F16_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B022_F17_Y13_ST1_CC1,ST1,CC1,Y13,1,0,0,0
B023_F18_Y13_ST199_CC15,ST199,CC15,Y13,1,0,0,0
B024_F19_Y13_ST1_CC1,ST1,CC1,Y13,0,1,0,0
B025_F13_Y13_ST97_CC97,ST97,CC97,Y13,1,0,0,0
B026_F20_Y13_ST97_CC97,ST97,CC97,Y13,1,0,0,0
B027_F21_Y13_ST1247_CC133,ST1247,CC133,Y13,0,0,0,0
B028_F22_Y13_ST1_CC1,ST1,CC1,Y13,1,0,0,0
B029_F23_Y13_ST97_CC97,ST97,CC97,Y13,1,0,0,0
B030_F24_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B031_F25_Y13_ST8_CC8,ST8,CC8,Y13,0,0,0,0
B032_F26_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B033_F08_Y13_ST1_CC1,ST1,CC1,Y13,1,0,0,0
B034_F19_Y13_ST97_CC97,ST97,CC97,Y13,0,0,0,0
B035_F27_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B036_F135_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B037_F28_Y13_ST1_CC1,ST1,CC1,Y13,1,0,0,0
B038_F29_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B039_F29_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B040_F30_Y13_ST4551_CC1,ST4551,CC1,Y13,0,0,0,0
B041_F31_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B042_F32_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B043_F33_Y13_ST1_CC1,ST1,CC1,Y13,1,0,0,1
B044_F33_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,1
B045_F34_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B046_F35_Y13_ST97_CC97,ST97,CC97,Y13,1,0,0,0
B047_F36_Y13_ST97_CC97,ST97,CC97,Y13,1,0,0,0
B048_F37_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B049_F38_Y13_ST78_CC78,ST78,CC78,Y13,1,0,0,0
B050_F39_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B051_F40_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B052_F41_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B053_F06_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B054_F42_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B055_F43_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B056_F44_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B057_F45_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B058_F46_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B059_F47_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B060_F48_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
B061_F48_Y13_ST1_CC1,ST1,CC1,Y13,0,0,0,0
