"The best hit (protein with highest percent identity) of the blastp results from the proteome of the major clonal complex  of the protein conservation analysis in Chapter 6. Subject_id: protein of the isolate along with the locus tag of the prokka output, CC : clonal complex, pct_identity: identity percentage, aln_length: aligned length of the protein, n_of_mismatches: no of mismatches, gap_openings: number of gaps found in the sequence when aligned, q_start: starting position of the query(potential vaccine candidate proteins) when aligned with subject protein, q_end: end position of the query,  s_start: starting position of the subject when aligned with query protein, s_end: ending position of the subject, e_value: number of expected hits of similar quality (score) that could be found just by chance, bit_score: sequence similarity independent of query sequence length and database size and is normalized based on the rawpairwise alignment score."													
													
													
													
													
													
													
													
													
Bifunctional autolysin (Atl)													
subject_id	CC	pct_identity	aln_length	n_of_mismatches	gap_openings	q_start	q_end	s_start	s_end	e_value	bit_score		
B003_F02_Y13_CC1_00891	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B004_F03_Y13_CC1_01131	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B006_F05_Y13_CC1_00484	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B007_F02_Y13_CC1_00574	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B008_F05_Y13_CC1_00562	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B009_F07_Y13_CC1_00400	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B010_F07_Y13_CC1_00337	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B011_F03_Y13_CC1_00401	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B012_F08_Y13_CC1_00481	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B014_F10_Y13_CC1_00401	CC1	99.92	1256	1	0	1	1256	1	1256	0	2534		
B016_F12_Y13_CC1_01749	CC1	99.805	512	1	0	745	1256	1	512	0	1040		
B017_F134_Y13_CC1_00339	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B018_F13_Y13_CC1_00214	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B020_F15_Y13_CC1_00364	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B021_F16_Y13_CC1_00174	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B022_F17_Y13_CC1_00603	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B024_F19_Y13_CC1_00535	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B028_F22_Y13_CC1_00535	CC1	99.92	1256	1	0	1	1256	1	1256	0	2533		
B030_F24_Y13_CC1_00286	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B032_F26_Y13_CC1_00018	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B033_F08_Y13_CC1_00332	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B035_F27_Y13_CC1_01556	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B036_F27_Y13_CC1_00827	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B037_F28_Y13_CC1_00298	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B038_F29_Y13_CC1_00169	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B039_F29_Y13_CC1_00754	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B040_F30_Y13_CC1_00789	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B041_F31_Y13_CC1_01067	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B042_F32_Y13_CC1_00193	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B043_F33_Y13_CC1_00481	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B044_F33_Y13_CC1_00106	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B045_F34_Y13_CC1_00745	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B047_F37_Y13_CC1_00446	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B048_F37_Y13_CC1_00533	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B050_F39_Y13_CC1_00657	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B051_F40_Y13_CC1_00922	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B052_F41_Y13_CC1_00665	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B053_F06_Y13_CC1_00534	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B054_F42_Y13_CC1_00665	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B055_F43_Y13_CC1_00257	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B056_F44_Y13_CC1_00367	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B057_F45_Y13_CC1_00225	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B058_F46_Y13_CC1_00401	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B059_F47_Y13_CC1_00446	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B060_F48_Y13_CC1_00206	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B061_F48_Y13_CC1_00172	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B063_F50_Y13_CC1_00414	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B064_F51_Y13_CC1_01235	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B065_F52_Y13_CC1_00343	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B066_F54_Y18_CC1_00646	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B070_F54_Y18_CC1_01137	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
